HSR,train,bus,car
141.59,-2.39,-12.62,-1.88
96.09,-1.76,-8.96,-1.41
61.33,-1.21,-5.88,-0.98
35.07,-0.74,-3.42,-0.61
15.18,-0.34,-1.49,-0.29
0.0,0.0,0.0,0.0
-11.73,0.29,1.17,0.25
-20.91,0.53,2.09,0.47
-28.17,0.73,2.82,0.65
-33.99,0.9,3.42,0.81
-38.7,1.04,3.9,0.95
