HSR,train,bus,car
43998.038613201825,-2641.8924777519715,-10471.995543052632,-2442.3076817744877
29859.081255090474,-1946.7302114364575,-7434.257440492191,-1823.8460953387548
19057.60075357045,-1340.4545795892918,-4878.030213739883,-1276.3288771079533
10896.288287418298,-819.6376762939326,-2834.8564060783538,-794.1833744280157
4718.300179659069,-375.94092558376724,-1239.6831346910913,-370.76767872532946
0.0,0.0,0.0,0.0
-3645.586419014606,317.03959833427507,968.5999995575985,323.28475517517654
-6497.0502642380925,583.3996178382658,1732.818098962569,603.7594502979337
-8754.447494507069,806.7154083300848,2342.582006408862,845.9947462104465
-10562.358942309482,993.9241793973924,2834.626831945425,1054.5272109026264
-12026.226373475813,1151.1254477244365,3235.9683252983814,1233.7295715521614
