HSR,train,bus,car
-2060.525708695892,-9598.387375956678,-6418.523262111659,66502.51043850057
-1509.5345967325702,-7366.534266825038,-4638.602982060111,48573.90503724512
-1032.0522972312137,-5296.939943210993,-3160.459189017085,33476.771450620334
-625.0665943294916,-3385.0010518769122,-1924.8345632196724,20629.744458217072
-283.2836977175866,-1622.710627593755,-883.780519514883,9585.087957516822
0.0,0.0,0.0,0.0
231.91961647039716,1494.0679908878228,755.4958985736303,-8389.122019590635
419.25966525563126,2870.4032918717567,1405.4839283962647,-15786.576061217856
568.0575921496929,4139.364462036407,1968.0711328960751,-22352.283777657794
683.5390964509934,5310.525743482824,2457.7967878809723,-28212.916014370785
770.2381248983002,6392.616393048171,2886.430481025236,-33470.12949741712
