HSR,train,bus,car
-7.2,-2.58,52.12,-2.19
-5.72,-2.04,39.95,-1.73
-4.26,-1.51,28.64,-1.28
-2.81,-0.99,18.21,-0.84
-1.39,-0.49,8.68,-0.41
0.0,0.0,0.0,0.0
1.35,0.47,-7.88,0.4
2.66,0.92,-15.0,0.78
3.91,1.34,-21.43,1.14
5.11,1.75,-27.23,1.49
6.24,2.13,-32.45,1.82
