HSR,train,bus,car
-6.63,-8.69,-7.73,51.3
-4.86,-6.67,-5.59,37.47
-3.32,-4.8,-3.81,25.83
-2.01,-3.06,-2.32,15.92
-0.91,-1.47,-1.06,7.39
0.0,0.0,0.0,0.0
0.75,1.35,0.91,-6.47
1.35,2.6,1.69,-12.18
1.83,3.75,2.37,-17.24
2.2,4.81,2.96,-21.77
2.48,5.79,3.48,-25.82
