HSR,train,bus,car
-3.79,38.23,-4.91,-4.66
-2.83,28.61,-3.6,-3.64
-1.98,20.16,-2.49,-2.66
-1.24,12.68,-1.54,-1.73
-0.58,6.0,-0.71,-0.84
0.0,0.0,0.0,0.0
0.51,-5.43,0.63,0.8
0.95,-10.37,1.18,1.56
1.34,-14.89,1.67,2.29
1.67,-19.03,2.1,2.97
1.97,-22.84,2.5,3.62
