depcity,arrcity,brand,marketshare1,price,fritime,citycenter,priced,timed,death,ontime,satisfaction,poll,yrinc,b201,b202,b203,b301,b302,b303,b401,b502,pop_dep,pop_arr,elector,candidates,brand_g,mkt,groupshare,lnmarketshare_g,outshare,mktshare2,mktshare,casualtyrate,casualty,moninc,edu,mayor_arr,city1,city2,city3,city4,city5,city6,city8,city9,city11,city12,city13,city14,city16,mayor_dep,mayor,unemploymentrate_arr,unemploymentrate_dep,houseinc_arr,houseinc_dep,drive,stand,sit,train,HSR,Rail,highway,priced2,houseinc_arr2,houseinc_dep2,unemploymentrate_arr2,unemploymentrate_dep2,death2,ontime2,satisfaction2,fritime2,timed2,poll2,casualtyrate2,moninc2,deathontime,deathsatis,ontimesatis,timedcasual,timedontime,timedsatis,pricedtimed,pop_depontime,pop_depsatis,pop_deptimed,casualtyratesatis,casualtyrateontime,casualsatisontime,deaths,ontimes,satisfactions,prices,fritimes,priceds,timeds,casualtyrates,ontimesatis_2,moninctimed
1,3,401,.22093476,.077,1.138889,5.6461039,.096010663,1.1404573,77.5,9.1219997,7.7319999,.88,706363.06,0,0,0,0,0,0,1,0,2.697644,2.055259,1.5687129,3,4,103,.22093476,0,.3674711,.22093476,-.5087772,.050000001,31,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,0,0,1,0,0,0,1,.0092180474,56.25,248.0625,16.240902,16.240902,6006.25,83.210876,59.783821,1.297068,1.3006428,77.440002,.0025000002,36.125446,706.95496,599.22998,70.531303,.057022866,10.403251,8.8180151,.10949606,24607908,20858184,3076547.8,.38659999,.45609999,3.5265651,136.5,65.288498,57.301998,1.0453252,4.0134258,1.2008348,4.0247874,19.067001,3741.1614,6.8546553
1,3,502,.24030587,.1213252,.45439589,5.3729219,.13941607,.45442075,77.5,9.0290003,8.3059998,.88,706363.06,0,0,0,0,0,0,0,1,2.697644,2.055259,1.5687129,3,5,103,.24030587,0,.3674711,.24030587,-.42473209,.050000001,720,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,1,0,1,0,0,0,1,.01943684,56.25,248.0625,16.240902,16.240902,6006.25,81.522842,68.989632,.20647563,.20649822,77.440002,.0025000002,36.125446,699.7475,643.71497,74.994873,.022721037,4.1029649,3.7744186,.063353553,24357028,22406630,1225865.4,.41529998,.45145002,3.7497437,136.5,65.3815,56.727997,1.0009999,4.6979189,1.1574293,4.710824,19.067001,3708.9614,2.7312708
1,3,201,.00018260699,.38,.32916668,7.1000452,.40390617,.33113891,0,9.9949999,8.54,.88,706363.06,1,0,0,0,0,0,0,0,2.697644,2.055259,1.5687129,3,1,103,.021191318,-4.7540107,.3674711,.00018260699,-7.6070638,0,0,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,0,0,1,1,1,0,0,.16314019,56.25,248.0625,16.240902,16.240902,0,99.900024,72.931602,.1083507,.10965297,77.440002,0,36.125446,0,0,85.3573,0,3.3097334,2.8279262,.13374905,26962952,23037880,893294.88,0,0,0,214,64.415497,56.493996,.74232519,4.8231478,.89293927,4.8341055,19.117001,3639.0889,1.9902921
1,3,302,.001198402,.064999998,.92161459,6.5042524,.086900085,.92342132,19.666666,8.1420002,7.7920003,.88,706363.06,0,0,0,0,1,0,0,0,2.697644,2.055259,1.5687129,3,2,103,.15009694,-4.8302922,.3674711,.001198402,-5.7256556,6.3390002,59,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,0,1,0,1,0,1,0,.0075516249,56.25,248.0625,16.240902,16.240902,386.77774,66.292168,60.715267,.84937346,.85270697,77.440002,40.182922,36.125446,160.12599,153.24266,63.442467,5.8535681,7.5184965,7.1952991,.080245391,21964218,21020042,2491062,49.39349,51.612141,402.1618,194.33333,66.268501,57.241997,1.0573251,4.2307,1.2099453,4.2418232,12.778,3793.3413,5.5501728
1,3,202,.0096875504,.175,.32916668,7.1000452,.19890614,.33113891,0,9.9949999,8.54,.88,706363.06,0,1,0,0,0,0,0,0,2.697644,2.055259,1.5687129,3,1,103,.021191318,-.78274995,.3674711,.0096875504,-3.635803,0,0,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,0,0,1,1,1,0,0,.039563652,56.25,248.0625,16.240902,16.240902,0,99.900024,72.931602,.1083507,.10965297,77.440002,0,36.125446,0,0,85.3573,0,3.3097334,2.8279262,.065865561,26962952,23037880,893294.88,0,0,0,214,64.415497,56.493996,.94732517,4.8231478,1.0979393,4.8341055,19.117001,3639.0889,1.9902921
1,3,303,.13946599,.054249998,.95935947,6.5042524,.076150082,.96116626,19.666666,9.8155003,7.7920003,.88,706363.06,0,0,0,0,0,1,0,0,2.697644,2.055259,1.5687129,3,2,103,.15009694,-.073460534,.3674711,.13946599,-.96882391,6.3390002,59,6.0104446,7.2209997,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0300002,4.0300002,7.5,15.75,0,1,0,1,0,1,0,.0057988348,56.25,248.0625,16.240902,16.240902,386.77774,96.344048,60.715267,.92037058,.92384058,77.440002,40.182922,36.125446,193.03816,153.24266,76.482384,6.092833,9.4343281,7.489408,.073192887,26478726,21020042,2592884.5,49.39349,62.220459,484.82184,194.33333,64.595001,57.241997,1.0680752,4.192955,1.2206954,4.2040782,12.778,3697.5469,5.7770367
1,4,301,.023858381,.35049999,2.2246666,6.5042524,.37240008,2.2264736,19.666666,8.3169994,7.7920003,.89999998,677954.5,0,0,0,1,0,0,0,0,2.697644,2.714642,2.093689,2,2,104,.03214509,-.29812413,.68293655,.023858381,-3.3542664,6.3390002,59,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,1,0,1,0,1,0,.13868181,79.209991,248.0625,15.681601,16.240902,386.77774,69.172478,60.715267,4.9491415,4.9571848,81,40.182922,36.125446,163.56766,153.24266,64.806061,14.113616,18.51758,17.348682,.82913893,22436304,21020042,6006233,49.39349,52.721462,410.80563,194.33333,66.093498,57.241997,3.9048142,13.244849,4.0574346,13.255972,12.778,3783.3237,13.382096
1,4,502,.016302388,.54914778,1.1830236,5.3729219,.56723863,1.1830484,77.5,9.0290003,8.3059998,.89999998,677954.5,0,0,0,0,0,0,0,1,2.697644,2.714642,2.093689,2,5,104,.016302388,0,.68293655,.016302388,-3.7350903,.050000001,720,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,1,0,1,0,0,0,1,.32175967,79.209991,248.0625,15.681601,16.240902,6006.25,81.522842,68.989632,1.3995447,1.3996035,81,.0025000002,36.125446,699.7475,643.71497,74.994873,.059152421,10.681744,9.8263998,.67107075,24357028,22406630,3191443.3,.41529998,.45145002,3.7497437,136.5,65.3815,56.727997,3.7061665,14.286492,3.8625963,14.299397,19.067001,3708.9614,7.1106467
1,4,203,.029489828,.74000001,.97083336,7.1000452,.76390612,.97280562,0,9.9949999,8.54,.89999998,677954.5,0,0,1,0,0,0,0,0,2.697644,2.714642,2.093689,2,1,104,.098519646,-1.2062106,.68293655,.029489828,-3.1423566,0,0,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,1,0,1,1,0,0,.58355254,79.209991,248.0625,15.681601,16.240902,0,99.900024,72.931602,.9425174,.94635075,81,0,36.125446,0,0,85.3573,0,9.7231922,8.3077602,.74313217,26962952,23037880,2624283.3,0,0,0,214,64.415497,56.493996,3.5153143,14.498682,3.6659288,14.50964,19.117001,3639.0889,5.8469944
1,4,401,.17009637,.25999999,2.7916667,5.6461039,.27901065,2.7932351,77.5,9.1219997,7.7319999,.89999998,677954.5,0,0,0,0,0,0,1,0,2.697644,2.714642,2.093689,2,4,104,.17009637,0,.68293655,.17009637,-1.3900368,.050000001,31,6.0104446,7.2209997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3.96,4.0300002,8.8999996,15.75,0,0,1,0,0,0,1,.077846944,79.209991,248.0625,15.681601,16.240902,6006.25,83.210876,59.783821,7.7934031,7.8021622,81,.0025000002,36.125446,706.95496,599.22998,70.531303,.13966176,25.479889,21.597294,.77934235,24607908,20858184,7535154,.38659999,.45609999,3.5265651,136.5,65.288498,57.301998,3.9953144,12.677849,4.1508241,12.689211,19.067001,3741.1614,16.788586
